Year,Price_to_Book,Annual_Stock_Return_pct,Ticker,Notes
2002,1.71,-31.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2003,1.65,15.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2004,1.56,4.3,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2005,1.48,0.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2006,1.53,24.1,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2007,1.78,28.7,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2008,1.32,-31.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2009,1.13,2.7,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2010,1.22,21.4,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2011,1.12,-4.7,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2012,1.15,16.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2013,1.3,32.7,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2014,1.53,27.0,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2015,1.26,-12.5,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2016,1.41,23.4,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2017,1.39,21.9,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2018,1.43,2.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2019,1.29,11.0,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2020,1.2,2.4,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2021,1.3,29.6,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2022,1.42,-4.0,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2023,1.36,15.8,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
2024,1.51,14.2,BRK.B,P/B is year-end. Returns are calendar-year total price returns from CompaniesMarketCap.
